"Planet Name";"Pl. Mass";"Pl. Radius";"Pl. Period";"Pl. Semi-axis";"Pl. Ecc.";"Pl. Incl.";"Ang. Dist.";"Pl. Transit Time";"Pl. Secondary Transit Time";"Pl. Tperi";"Pl. omega";"St. Dist";"St. Spec. Type";"St. Mass";"St. [Fe/H]";"St. Right Asc.";"St. Decli.";"St. Mag. V.";"St. Mag. I";"St. Mag. H";"St. Mag. J";"St. Mag. K";"St. Radius";"St. Effect Temp";"St. Age";
"WASP-37 b";"1.696";"1.136";"3.577471";"0.04339";"0.0";"88.78";"0.000128";"2455338.6189";;;;"338";"G2";"0.849";"-0.4";"14 47 47";"+01 03 54";"12.7";;;;;"0.977";"5800";"11";
"WASP-38 b";"2.712";"1.079";"6.871815";"0.07551";"0.0321";"88.69";"0.000686";"2455335.9205";;;"-19";"110";"F8";"1.216";"-0.12";"16 15 50";"+10 01 57";"9.42";;;;;"1.365";"6150";"5";
"WASP-39 b";"0.28";"1.27";"4.055259";"0.0486";"0.0";"87.83";"0.000211";"2455342.9688";;;;"230";"G8";"0.93";"-0.12";"14 29 18";"-03 26 40";"12.11";;;;;"0.895";"5400";;
"WASP-4 b";"1.1215";"1.363";"1.33823187";"0.02312";"0.0";"88.8";"7.7e-05";"2454365.91464";"2455102.61162";;;"300";"G8";"0.93";"-0.03";"23 34 15";"-42 03 41";"12.6";;;;;"1.15";"5500";;
"WASP-41 b";"0.92";"1.21";"3.052394";"0.04";"0.0";"87.3";"0.000222";"2455343.462";;;;"180";"G8V";"0.95";"-0.08";;;"11.6";;;;;"1.01";"5450";;
"WASP-42 b";"0.5";"1.08";"4.9816872";"0.0458";"0.06";"88.25";;"2455652.889";;;"167";;;;;;;;;;;;;;;
"WASP-43 b";"2.034";"1.036";"0.81347753";"0.01526";"0.0035";"82.33";;"2455726.95069";;;"-32";;"K7V";"0.717";"-0.01";"10 19 38";"-09 48 23";"12.4";;;;;"0.667";"4520";"0.4";
"WASP-44 b";"0.889";"1.14";"2.4238039";"0.03473";"0.0";"86.02";;"2455434.376";;;;;"G8V";"0.951";"0.06";"00 15 37";"-11 56 17";"12.9";;;;;"0.927";"5410";"0.9";
"WASP-45 b";"1.007";"1.16";"3.1260876";"0.04054";"0.0";"84.47";;"2455441.26925";;;;;"K2V";"0.909";"0.36";"00 20 57";"-35 59 54";"12";;;;;"0.945";"5140";"1.4";
"WASP-46 b";"2.101";"1.31";"1.43037";"0.02448";"0.0";"82.63";;"2455392.31553";;;;;"G6V";"0.956";"-0.37";"21 14 57";"-55 52 18";"12.9";;;;;"0.917";"5620";"1.4";
"WASP-47 b";"1.14";"1.15";"4.1591399";"0.052";"0.0";"89.2";"0.00026";"2455764.34602";;;;"200";"G9V";"1.084";"0.18";"22 04 49";"-12 01 08";"11.9";;;;;"1.15";"5400";;
"WASP-48 b";"0.98";"1.67";"2.143634";"0.03444";"0.0";"80.09";;"5364.55043";;;;;;"1.19";"-0.12";"19 24 39";"+55 28 23";"11.06";;;;;"1.75";"5990";;
"WASP-49 b";"0.378";"1.115";"2.7817387";"0.0378";;"84.89";;"2455580.59436";;;;;;;;;;;;;;;;;;
"WASP-5 b";"1.637";"1.171";"1.6284246";"0.02729";"0.0";"85.8";"9.2e-05";"2454375.62494";;;;"297";"G5";"1";"0.09";"23 57 24";"-41 16 38";"12.26";;;;;"1.084";"5700";"3";
"WASP-50 b";"1.468";"1.153";"1.9550959";"0.02945";"0.009";"84.74";"0.000128";"2455561.549";;;"44";"230";"G9";"0.892";"-0.12";"02 54 45";"-10 53 53";"11.6";;;;;"0.843";"5400";;
"WASP-52 b";"0.5";"1.3";"1.7";;;;;;;;;;;;;;;;;;;;;;;
"WASP-53 b";"2.5";"1.2";"3.3";;;;;;;;;;;;;;;;;;;;;;;
"WASP-54 b";"0.6";"1.4";"3.7";;;;;;;;;;;;;;;;;;;;;;;
"WASP-55 b";"0.57";"1.3";"4.465633";"0.0533";"0.0";"89.2";"0.000162";"2455737.9396";;;;"330";;"1.01";"-0.2";"13 55 02";"-17 30 13";"11.8";;;;;"1.06";"5900";;
"WASP-56 b";"0.6";"1.2";"4.6";;;;;;;;;;;;;;;;;;;;;;;
"WASP-57 b";"0.8";"1.1";"2.8";;;;;;;;;;;;;;;;;;;;;;;
"WASP-58 b";"1.1";"1.3";"5";;;;;;;;;;;;;;;;;;;;;;;
"WASP-59 b";"0.7";"0.9";"7.9";;;;;;;;;;;;;;;;;;;;;;;
"WASP-6 b";"0.503";"1.224";"3.361006";"0.0421";"0.054";"88.47";"0.000137";;;;"1.7";"307";"G8";"0.888";"-0.2";"23 12 38";"-22 40 26";"12.4";;;;;"0.87";"5450";"11";
"WASP-60 b";"0.5";"0.9";"4.3";;;;;;;;;;;;;;;;;;;;;;;
"WASP-61 b";"2.06";"1.24";"3.8559";"0.0514";"0.0";"89.35";"0.000107";"2455859.52825";;;;"480";"F7";"1.22";"-0.1";"05 01 12";"-26 03 15";"12.5";;;;;"1.36";"6250";;
"WASP-62 b";"0.57";"1.39";"4.411953";"0.0567";"0.0";"88.3";"0.000354";"2455855.39195";;;;"160";"F7";"1.25";"0.04";"05 48 34";"-63 59 18";"10.3";;;;;"1.28";"6230";;
"WASP-63 b";"0.38";"1.43";"4.37809";"0.574";"0.0";"87.8";"0.001739";"2455921.6527";;;;"330";"G8";"1.32";"0.08";"06 17 21";"-38 19 24";"11.2";;;;;"1.88";"5550";;
"WASP-64 b";"1.2";"0.7";"1.6";;;;;;;;;;;;;;;;;;;;;;;
"WASP-65 b";"1.6";"1.3";"2.3";;;;;;;;;;;;;;;;;;;;;;;
"WASP-66 b";"2.32";"1.39";"4.086052";"0.0546";"0.0";"85.9";"0.000144";"2455929";;;;"380";"F4";"1.3";"-0.31";"10 32 54";"-34 59 23";"11.6";;;;;"1.75";"6600";;
"WASP-67 b";"0.42";"1.4";"4.61442";"0.0517";"0.0";"85.8";"0.00023";"2455824.3742";;;;"225";"kov";"0.87";"-0.07";"19 42 59";"-19 56 58";"12.5";;;;;"0.87";"5200";;
"WASP-68 b";"0.8";"0.9";"5.1";;;;;;;;;;;;;;;;;;;;;;;
"WASP-69 b";"0.3";"1";"3.9";;;;;;;;;;;;;;;;;;;;;;;
"WASP-7 b";"0.96";"1.33";"4.9546416";"0.0617";"0.0";"87.03";"0.000441";"2455446.63493";;;;"140";"F5V";"1.276";;"20 44 10";"-39 13 31";"9.51";;;;;"1.432";"6400";"2.4";
"WASP-70 b";"0.6";"0.8";"3.7";;;;;;;;;;;;;;;;;;;;;;;
"WASP-78 b";"1.16";"1.75";"2.17517656";"0.0415";"0.0";"89";"7.5e-05";"2455882.35904";;;;"550";"F8";"2.02";"-0.35";"04 15 02";"-22 06 59";"12";;;;;"2.31";"6100";;
"WASP-79 b";"0.89";"1.7";"2.17517632";"0.0362";"0.0";"83.2";"0.000151";"2455882.35878";;;;"240";"F3";"1.56";"0.03";"04 25 29";"-30 36 02";"10.1";;;;;"1.64";"6600";;
"WASP-8 b";"2.244";"1.038";"8.158715";"0.0801";"0.31";"88.55";"0.000921";"4679.33394";;;"-85.73";"87";"G6";"1.033";"0.17";"23 59 36";"-35 01 53";"9.9";;;;;"0.953";"5600";"4";
"WD 0806-661B b";"8";;;"2500";;;"130.208333";;;;;"19.2";"DQ D";"0.62";;"08 06 54";"-66 18 17";;;;;;;;"1.5";
"XO-1 b";"0.9";"1.184";"3.9415128";"0.0488";"0.0";"89.31";"0.000244";"2453808.91682";;;;"200";"G1V";"1";;"16 02 12";"+28 10 11";"11.3";;;;;"0.928";;"4.5";
"XO-2 b";"0.62";"0.973";"2.615838";"0.0369";"0.045";"88.7";"0.000248";"2454147.74902";;;;"149";"K0V";"0.98";"0.45";"07 48 07";"+50 13 33";"11.18";;;;;"0.964";"5340";"2";
"XO-3 b";"11.79";"1.217";"3.1915239";"0.0454";"0.26";"84.2";"0.000175";"2454449.86816";;"2454024.84";"345.8";"260";"F5V";"1.213";"-0.177";"04 21 53";"+57 49 01";"9.8";"9.28";"8.85";"9.01";"8.79";"1.377";"6429";"2.82";
"XO-4 b";"1.72";"1.34";"4.1250823";"0.0555";"0.0";"88.7";"0.000189";"2454485.93307";"2455172.75948";;;"293";"F5V";"1.32";"-0.04";"07 21 33";"+58 16 05";"10.7";;"9.48";"9.67";"9.41";"1.55";"5700";"2.1";
"XO-5 b";"1.077";"1.03";"4.1877537";"0.0487";"0.0";"86.8";"0.000191";"2454485.6642";;;;"255";"G8V";"0.88";"0.18";"07 46 52";"+39 05 41";"12.13";;"10.44";"10.77";;"1.06";"5510";"8.5";
