# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 222582 b,7.75,,572.38,1.35,0.725,,0.032143,R,1999,2009-10-06,319.01,706.7,detected by radial velocity,,HD 222582,23:41:51.0,-05:59:08,7.7,,,,,42.0,-0.0229,0.99,1.15,G5,6.16,5662.0
HD 224693 b,0.71,,26.73,0.233,0.05,,0.002479,R,2006,2006-04-18,6.0,2453193.9,detected by radial velocity,,HD 224693,23:59:54.0,-22:25:41,8.23,,,,,94.0,0.343,1.33,1.7,G2IV,2.0,6037.0
HD 22781 b,13.65,,528.07,1.167,0.8191,,0.03671,R,2011,2011-11-04,-44.08,2454881.4,detected by radial velocity,,HD 22781,03:40:50.0,+31:49:35,8.77,,,,,31.79,-0.37,0.75,,K0V,4.75,5027.0
HD 23079 b,2.5,,626.0,1.5,0.02,,0.043103,R,2001,2010-12-30,262.0,1680.0,detected by radial velocity,,HD 23079,03:39:43.0,-52:54:57,7.1,,,,,34.8,-0.24,1.1,1.13,F8/G0 V,6.53,5848.0
HD 23127 b,1.5,,1214.0,2.4,0.44,,0.026936,R,2007,2007-02-09,190.0,229.0,detected by radial velocity,,HD 23127,03:39:24.0,-60:04:40,8.58,,,,,89.1,0.34,1.13,,G2V,7.1,5927.0
HD 231701 b,1.08,,141.6,0.53,0.1,,0.004889,S,2007,2009-10-06,46.0,3180.0,detected by radial velocity,,HD 231701,19:32:04.0,+16:28:27,8.97,,,,,108.4,0.07,1.14,1.35,F8V,4.9,6208.0
HD 23596 b,8.1,,1565.0,2.88,0.292,,0.055385,R,2002,2010-12-30,274.1,2451604.0,detected by radial velocity,,HD 23596,03:48:00.0,+40:31:50,7.24,,,,,52.0,0.32,1.27,2.09,F8,6.89,5888.0
HD 240210 b,6.9,,501.75,1.33,0.15,,0.009301,R,2009,2009-06-10,277.49,54486.76,detected by radial velocity,,HD 240210,23:10:29.0,+57:01:46,8.33,,,,,143.0,-0.18,1.25,,K3III,,4290.0
HD 240237 b,5.3,,745.7,1.9,0.4,,0.001267,S,2010,2011-10-11,108.1,44292.0,detected by radial velocity,,HD 240237,23:15:42.0,+58:02:36,8.19,,,,,1500.0,-0.26,1.69,32.0,K2III,,4361.0
HD 24040 b,4.01,,3668.0,4.92,0.04,,0.105784,S,2006,2012-05-25,154.0,2454308.0,detected by radial velocity,,HD 24040,03:50:23.0,+17:28:35,7.52,,,,,46.51,0.206,1.18,,G0,6.68,5853.0
HD 25171 b,0.95,,1845.0,3.02,0.08,,0.054909,R,2010,2010-12-20,96.0,55301.0,detected by radial velocity,,HD 25171,03:55:49.0,-65:11:12,7.79,,,,,55.0,-0.11,1.09,1.18,F8V,2.0,6160.0
