# Proper motion data
# HIP	pmRA(mas/yr)	pmDE(mas/yr)
569	-123.49	-222.24
570	15.21	3.89
571	21.30	6.30
573	40.30	19.70
574	20.32	-7.49
575	0.17	-0.43
576	-0.56	-3.36
577	175.61	-77.73
578	11.32	-14.89
579	-3.68	-13.34
580	57.98	8.89
581	-35.75	-25.09
582	7.14	-2.77
583	29.04	4.56
584	70.00	-22.60
585	20.27	2.38
586	24.62	-44.87
587	-14.73	-11.45
588	12.12	-8.96
589	15.90	-2.10
590	1.78	-0.27
591	-5.31	-17.40
592	1.74	-3.09
593	-8.02	-17.38
594	54.57	-15.87
595	-11.00	-23.30
596	78.08	-5.72
643	-10.23	-44.84
597	40.25	-9.04
598	13.03	1.44
599	-63.25	18.66
600	-13.84	-24.78
601	1.50	-214.40
602	-9.50	16.11
603	-5.20	-6.10
604	-84.10	-4.80
605	14.38	-20.85
606	211.31	-133.94
607	131.37	-117.14
608	-24.90	-9.80
609	-5.02	-10.38
610	0.40	-9.40
611	182.60	5.90
612	73.78	26.68
613	4.35	0.49
614	-11.32	-4.28
615	25.51	-1.64
616	322.16	90.79
617	-32.91	-14.44
618	33.80	-52.70
619	8.68	-20.70
620	22.33	7.57
621	2.91	-7.23
622	-12.50	-7.60
623	52.69	1.63
624	27.48	-98.32
625	35.37	-9.24
626	-31.30	-18.50
627	13.90	2.67
628	-15.14	-22.24
629	9.00	-12.02
630	-68.21	-56.83
631	29.53	-63.39
632	20.60	1.30
633	35.21	-15.14
634	10.60	-15.80
635	28.90	2.09
636	69.52	-34.96
637	9.59	28.08
638	-12.19	-31.51
639	8.61	-5.45
640	-15.55	-24.86
641	202.67	9.37
642	200.39	-26.34
644	-22.32	-17.39
645	88.49	-94.40
646	7.51	-9.03
647	25.78	-6.65
648	-1.12	2.58
649	-29.69	31.02
650	0.70	5.50
651	44.83	-18.06
652	-27.54	-24.85
653	19.50	3.28
654	44.14	-15.80
655	-43.53	3.28
656	73.74	-61.68
