117738	LV Aqr	SR	7.53	0	7.75	Hp		34.32		M2III
117747	LW Aqr	LB	7.24	0	7.46	Hp				M4III
118002	LX Aqr	SRB	7.29	0	7.38	Hp		312.		M2III
102935	NP Aqr	EB	7.59	0	7.69	V	47985.661	0.806982		F0V
104456	NR Aqr	SRS:	7.56	1	0.02	V		12.08		K5III
109110	NT Aqr	BY	7.57	1	0.06	V		10.29		G0V
111870	NV Aqr	BY	7.74	1	0.02	V		6.20		G8/K0V
115527	NX Aqr	BY:	7.62	1	0.02	V				G5V
104743	OR Aqr	EA	7.94	0	8.11	V	47977.020	11.42365	03	F0V
112961	λ Aqr	LB	3.57	0	3.80	V				M2.5IIIa
108874	ο Aqr	GCAS	4.68	0	4.89	V				B7IVe-sh
110672	π Aqr	GCAS	4.42	0	4.87	V				B1Ve
114939	χ Aqr	SRB:	4.75	0	5.10	V		35.250		M3III
93820	R Aql	M	5.5	0	12.0	V	43458.	284.2	42	M5e-M9e
95820	U Aql	DCEP	6.08	0	6.86	V	34922.31	7.02393	30	F5I-II-G1
93666	V Aql	SRB	6.6	0	8.4	V		353.		C5,4-C6,4(N6)
93867	Y Aql	E/KE	5.02	1	0.04	B	38607.445	1.30227		B8III-V
98220	RR Aql	M	7.8	0	14.5	V	41764.	394.78	30	M6e-M9
96580	RT Aql	M	7.6	0	14.5	V	43290.	327.11	42	M6e-M8e(S)
93681	SZ Aql	DCEP	7.92	0	9.26	V	35528.937	17.137939	37	F7-K1
93990	TT Aql	DCEP	6.46	0	7.70	V	37236.10	13.7546	34	F6-G5
93124	FF Aql	DCEPS	5.18	0	5.68	V	41576.428	4.470916	48	F5Ia-F8Ia
94094	FM Aql	DCEP	7.89	0	8.66	V	35151.723	6.11423	30	F5-F9Ia
94402	FN Aql	DCEPS	7.96	0	8.75	V	36804.603	9.48151	49	F8-G2
96840	QS Aql	EA/SD	5.93	0	6.06	V	40443.489	2.513294	17	B5V
96204	V0450 Aql	SRB	6.30	0	6.65	V	31320.	64.20	52	M5III-M8III
94004	V0496 Aql	DCEPS	7.59	0	7.98	V	36017.062	6.80703	33	G5
93502	V0599 Aql	EB/KE:	6.67	0	6.75	V	21836.539	1.849084		B2V+B8
93809	V0805 Aql	EA/DM	7.58	0	8.22	V	27927.8470	2.4082337	11	A2+A7
96007	V0822 Aql	EB/DM	6.87	0	7.44	V	42577.333	5.294950		B5+B8:V
95929	V0923 Aql	GCAS	6.04	1	0.12	V				B5.5IIIpe-B8V
94982	V1208 Aql	DSCTC	5.51	0	5.56	V		0.149663		F0III
93179	V1286 Aql	ACV	5.83	0	5.93	V	41517.4	6.05		A4p(Eu-Cr-Sr)
94477	V1288 Aql	ACV	5.06	0	5.16	V	44099.23	1.73		B8II-IIIp(Hg:)
97871	V1291 Aql	ACV	5.61	0	5.67	V	32323.	224.5		A5p(Sr-Cr-Eu)
96196	V1294 Aql	GCAS	6.82	0	7.23	V				B0.5IV
98719	V1295 Aql	*	7.87	1	0.02	V				A0ep
