# Locations file.  This file is used to create the location list as used
# in the location selection dialog.
# Format:
# + One record per line
# + Fields in a record are delimited with the tab character
# + Line beginning with a # character are comments
# + Field are as follows:
#   - LocationName
#   - Provice/State
#   - Region (Code/Full English Name)
#   - Type code (C/B=Capital, R=Regional capital,N=Normal city,
#                O=Observatory, L=lander, I=spacecraft impact
#                A=spacecraft crash
#   - Population (thousand)
#   - Latitude (deg[N/S])
#   - Longitude (deg[E/W])
#   - Altitude (meters)
#   - Light Pollution (1-9 Bortle scale, empty=auto)
#   - TimeZone (empty=auto)
#   - Planet (empty=Earth)
#   - LandscapeKey (empty=auto)
Armavir	Armavir	16	R	25.963	40.15446N	44.03815E	870	5	Asia/Yerevan
Gyumri	Shirak	16	R	148.381	40.7942N	43.84528E	1549	7	Asia/Yerevan
Ch'arents'avan	Kotayk	16	N	18.5	40.40289N	44.64447E	1661	5	Asia/Yerevan
Ashtarak	Aragatsotn	16	R	18.779	40.2991N	44.36204E	1142	5	Asia/Yerevan
Abovyan	Kotayk	16	N	35.673	40.27368N	44.63348E	1423	5	Asia/Yerevan
Saurimo	Lunda Sul	03	R	40.498	9.66078S	20.39155E	1071	5	Africa/Luanda
Lucapa	Luanda Norte	03	N	20.115	8.41915S	20.74466E	955	5	Africa/Luanda
Luau	Moxico	03	N	18.465	10.70727S	22.22466E	1106	5	Africa/Luanda
Uige	Uige	03	R	60.008	7.60874S	15.06131E	825	6	Africa/Luanda
Soio	Zaire	03	N	67.491	6.1349S	12.36894E	10	6	Africa/Luanda
N'zeto	Zaire	03	N	18.352	7.23116S	12.8666E	19	5	Africa/Luanda
N'dalatando	Cuanza Norte	03	R	383.1	9.29782S	14.91162E	795	7	Africa/Luanda
Mbanza Kongo	Zaire	03	R	24.22	6.26667S	14.23833E	531	5	Africa/Luanda
Malanje	Malanje	03	R	87.046	9.54015S	16.34096E	1134	6	Africa/Luanda
Luanda	Luanda	03	C	2776.168	8.83682S	13.23432E	73	9	Africa/Luanda
Caxito	Bengo	03	R	28.224	8.57848S	13.66425E	20	5	Africa/Luanda
Cabinda	Cabinda	03	R	66.02	5.56717S	12.19787E	3	6	Africa/Luanda
