054.5967;-45.1800;RXS J03383-4510  ;03 38 23.2;-45 10 48; 0.119;14.97;     ;-23.6
057.3687;-53.7464;EUVE J0349-537   ;03 49 28.5;-53 44 47; 0.130;15.70;     ;-23.1
057.7471;-52.6764;CTS H27.03       ;03 50 59.3;-52 40 35; 1.541;15.70;     ;-28.9
058.7912;-39.1742;HE 0353-3919     ;03 55 09.9;-39 10 27; 1.001;15.60;     ;-28.1
058.8054;-54.8658;RXS J03552-5451  ;03 55 13.3;-54 51 57; 0.269;15.70;     ;-24.9
058.9992;-61.0750;RXS J03559-6104  ;03 55 59.8;-61 04 30; 0.227;15.80;     ;-24.4
059.5779;-61.4019;IRAS 03575-6132  ;03 58 18.7;-61 24 07; 0.047;14.20;     ;-22.3
060.2779;-16.1108;NPM1G-16.0168    ;04 01 06.7;-16 06 39; 0.031;10.16;     ;-24.8
060.3596; -8.0333;RXS J04014-0801  ;04 01 26.3;-08 02 00; 0.147;14.59;     ;-24.5
061.8162;-53.5519;HE 0406-5341     ;04 07 15.9;-53 33 07; 0.545;15.90;     ;-26.2
061.9521;-12.1933;PKS 0405-12      ;04 07 48.5;-12 11 36; 0.574;14.86; 0.23;-27.1
062.7533;-49.9486;HE 0409-5004     ;04 11 00.8;-49 56 55; 0.817;16.00;     ;-27.2
063.1729;-47.2131;RXS J04127-4712  ;04 12 41.5;-47 12 47; 0.132;15.90;     ;-22.9
063.3438;+23.7261;1WGA J0413.4+2343;04 13 22.5;+23 43 34; 0.309;15.60;     ;-25.2
064.3196; -5.8958;3C 110           ;04 17 16.7;-05 53 45; 0.773;15.94; 0.30;-26.6
066.5033;-57.2003;LB 1727          ;04 26 00.8;-57 12 01; 0.104;13.20;     ;-25.2
067.1292;-17.5756;RXS J04285-1734  ;04 28 31.0;-17 34 32; 0.205;15.60;     ;-24.3
069.5425;-26.1436;HE 0436-2614     ;04 38 10.2;-26 08 37; 0.690;15.10;     ;-27.6
070.8363;-28.3478;HE 0441-2826     ;04 43 20.7;-28 20 52; 0.155;14.40;     ;-24.9
071.0167;-22.4128;NPM1G-22.0111    ;04 44 04.0;-22 24 46; 0.076;14.94;     ;-22.6
071.6562;-34.7294;CTS A29.01       ;04 46 37.5;-34 43 46; 0.181;16.00;     ;-23.6
071.7900;-26.9600;IRAS 04451-2702  ;04 47 09.6;-26 57 36; 0.114;15.70;     ;-22.9
071.9783; -3.3786;RXS J04479-0322  ;04 47 54.8;-03 22 43; 0.774;15.94;     ;-26.9
073.1254;-29.8931;IRAS 04505-2958  ;04 52 30.1;-29 53 35; 0.286;13.60;     ;-27.1
073.7446;+69.8292;SNU J04549+6949  ;04 54 58.7;+69 49 45; 0.140;15.20;     ;-23.2
074.7108;-19.1011;RXS J04588-1906  ;04 58 50.6;-19 06 04; 0.062;14.52;     ;-22.6
076.0508;-22.6619;HE 0502-2243     ;05 04 12.2;-22 39 43; 1.377;16.00;     ;-28.3
076.0792;-29.7442;HE 0502-2948     ;05 04 19.0;-29 44 39; 0.552;14.20;     ;-28.0
076.8837;-51.0711;MS 05063-5108    ;05 07 32.1;-51 04 16; 0.522;16.00;     ;-25.9
078.4683; +1.9528;4C 01.13         ;05 13 52.4;+01 57 10; 0.084;14.80;     ;-22.4
079.2817;-44.1822;HE 0515-4414     ;05 17 07.6;-44 10 56; 1.713;14.90;     ;-29.8
083.6292;-60.2708;RXS J05345-6016  ;05 34 31.0;-60 16 15; 0.057;14.46;     ;-22.5
084.0887;-51.7356;RXS J05363-5144  ;05 36 21.3;-51 44 08; 0.113;14.69;     ;-23.8
084.3279;-44.7181;RXS J05373-4443  ;05 37 18.7;-44 43 05; 0.099;14.19;     ;-24.0
086.2329;-26.8631;NVSS J05449-2651 ;05 44 55.9;-26 51 47; 0.134;15.70;     ;-22.6
088.0017;-53.2122;CTS H34.02       ;05 52 00.4;-53 12 44; 1.590;15.10;     ;-29.5
088.1025;-64.0364;PKS 0552-640     ;05 52 24.6;-64 02 11; 0.680;15.04;     ;-27.5
088.6967;+66.3453;SNU J05547+6620  ;05 54 47.2;+66 20 43; 0.186;14.50;     ;-24.6
089.2675;-50.1394;IRAS 05558-5008  ;05 57 04.2;-50 08 22; 0.355;15.90;     ;-25.3
089.3108;-53.9539;CTS H34.03       ;05 57 14.6;-53 57 14; 0.097;15.80;     ;-22.3
089.9475;-50.4475;PKS 0558-504     ;05 59 47.4;-50 26 51; 0.137;14.97; 0.21;-23.7
093.3367;-32.6983;IRAS 06115-3240  ;06 13 20.8;-32 41 54; 0.050;14.10;     ;-22.6
095.7821;-64.6053;IRAS L06229-6434 ;06 23 07.7;-64 36 19; 0.129;14.80;     ;-24.0
095.9800; +0.3119;SNU J06239+0018  ;06 23 55.2;+00 18 43; 0.094;14.80;     ;-22.7
097.5108;+69.0842;HS 0624+6907     ;06 30 02.6;+69 05 03; 0.370;14.16; 0.48;-26.6
098.9437;-75.2714;PKS 0637-75      ;06 35 46.5;-75 16 17; 0.651;15.75; 0.33;-26.4
099.1067;-68.8061;IRAS 06367-6845  ;06 36 25.6;-68 48 22; 0.336;16.00;     ;-25.1
099.2187; -8.1800;SNU J06368-0810  ;06 36 52.5;-08 10 48; 0.233;15.70;     ;-23.9
101.0454;+35.7789;SNU J06441+3546  ;06 44 10.9;+35 46 44; 0.077;14.30;     ;-22.7
102.2350;+35.3683;SNU J06489+3522  ;06 48 56.4;+35 22 06; 0.119;15.80;     ;-22.2
103.7917;+41.0028;NPM1G+41.0135    ;06 55 10.0;+41 00 10; 0.022; 9.37;     ;-24.8
106.3725;+63.5592;MS 07007+6338    ;07 05 29.4;+63 33 33; 0.152;14.51;     ;-24.6
106.8046;+64.5997;VII Zw 118       ;07 07 13.1;+64 35 59; 0.079;14.61; 0.68;-22.4
107.5604;+13.2597;SNU J07102+1315  ;07 10 14.5;+13 15 35; 0.141;15.80;     ;-22.6
108.0650;+15.6583;SNU J07122+1539  ;07 12 15.6;+15 39 30; 0.166;15.30;     ;-23.5
108.2892;+36.9353;B2 0709+37       ;07 13 09.4;+36 56 07; 0.487;15.49; 0.17;-26.1
111.6475;+37.0006;KUV 07232+3706   ;07 26 35.4;+37 00 02; 0.190;15.80;     ;-23.9
