274.1191	-20.3985	151	100	 35	1 	NGC6526; HS134; E32,33; G77b
269.0473	-16.3230	152	  2	  2	2 	
274.7381	-19.3121	153	 60	 20	1 	(IC1283,4); BBW33903; HS140;
271.4759	-16.9946	154	 40	 30	1 	
273.0544	-17.6703	155	 10	 10	2 	HS133; E31
274.4783	-17.4800	156	 50	 50	1 	HS136; E34
274.0235	-16.5822	157	 60	 60	3 	(IC4701); BBW34101; HS137; G79
271.5862	-14.1940	158	 23	 23	2 	BBW34201; HS128; E25; G80
276.2233	-16.5716	159	 15	 15	2 	
275.3452	-15.9758	160	 70	 60	3 	NGC6618; (IC4706,7); BBW34202
275.2158	-15.1264	161	 80	 40	2 	HS143
275.7132	-14.6407	162	 22	 10	3 	BBW34401; HS146; E44; G82
277.4918	-15.3654	163	 10	  9	2 	
276.4641	-14.8204	164	  8	  6	3 	HS148; E46
274.7094	-13.8789	165	 90	 66	3 	NGC6611; BBW34400; HS142; G83
276.3554	-13.1209	166	 15	 15	1 	HS147; E45
275.1992	-11.8765	167	180	 90	2 	(NGC6604); BBW34600; E41; G84,5
275.1860	 -9.2432	168	  1	  1	3 	
277.7384	 -9.7642	169	  7	  7	2 	HS150; E48
277.8101	 -9.1138	170	  7	  5	1 	
277.8317	 -8.4137	171	  5	  5	2 	HS151; E49
279.1270	 -7.4908	172	  7	  7	1 	HS155?; E53
279.1729	 -6.6406	173	 17	 17	2 	BBW35201; HS154; E52
277.9514	 -2.1797	174	  5	  4	1 	HS152
281.7088	 -3.7451	175	  7	  5	2 	HS159; E57
281.3255	 -2.0135	176	  8	  8	2 	HS158; E56
281.0925	 -0.3480	177	 12	 12	2 	HS156; E55
285.4297	 +2.3893	178	  2	  2	2 	
285.9305	 +2.2249	179	 20	 15	1 	
282.1855	 +6.3740	180	  1	  1	3 	
283.6871	 +6.0644	181	  5	  5	1 	
287.1898	 +5.6142	182	  3	  3	2 	E61
